,Bid Range,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
157,"[51,230]",107806,57,6249909,0.0005287275290800141,109647.52631578948,57973.66565868319
158,"[51,220]",110000,52,6249973,0.0004727272727272727,120191.78846153847,56817.93636363636
159,"[51,210]",112236,57,6249967,0.0005078584411418796,109648.54385964913,55685.93855803842
160,"[51,200]",114230,58,6249942,0.0005077475269193732,107757.62068965517,54713.665411888294
161,"[51,190]",116680,61,6249969,0.0005227973945834762,102458.5081967213,53565.04113815564
162,"[51,180]",119259,60,6249953,0.0005031066837722939,104165.88333333333,52406.552126045
163,"[51,170]",122037,65,6249984,0.000532625351327876,96153.6,51213.84498144005
164,"[51,160]",125071,66,6249999,0.0005277002662487707,94696.95454545454,49971.6081265841
165,"[56,300]",97324,48,6249990,0.0004931979778882906,130208.125,64218.38395462579
166,"[56,290]",98373,53,6249954,0.0005387657182356947,117923.6603773585,63533.22558018968
167,"[56,280]",99750,53,6249866,0.000531328320802005,117922.0,62655.29824561404
168,"[56,270]",100993,54,6249956,0.0005346905231055618,115739.92592592593,61885.04153753231
169,"[56,260]",102316,54,6249974,0.0005277766918175066,115740.25925925926,61085.01114195238
170,"[56,250]",103943,58,6249849,0.0005579981335924497,107756.0172413793,60127.65650404549
171,"[56,240]",105294,55,6249961,0.0005223469523429635,113635.65454545454,59357.23782931601
172,"[56,230]",107115,57,6249992,0.0005321383559725529,109648.98245614035,58348.42925827382
173,"[56,220]",108854,54,6249943,0.0004960773145681371,115739.68518518518,57415.832215628274
174,"[56,210]",111065,59,6249921,0.0005312204564894431,105930.86440677966,56272.64214649079
175,"[56,200]",113409,58,6249973,0.0005114232556499043,107758.1551724138,55110.02654110344
176,"[56,190]",115578,54,6249939,0.0004672169444011836,115739.61111111111,54075.50744951461
177,"[56,180]",117967,60,6249951,0.0005086168165673451,104165.85,52980.50302203158
178,"[56,170]",120595,60,6249946,0.0004975330652182927,104165.76666666666,51825.91318048012
179,"[56,160]",123623,63,6249979,0.0005096139067972788,99206.01587301587,50556.765326840476
180,"[61,300]",96905,58,6249990,0.0005985243279500542,107758.44827586207,64496.052835251015
181,"[61,290]",97939,53,6249933,0.0005411531667670693,117923.2641509434,63814.54783079264
182,"[61,280]",99113,52,6249991,0.0005246536781249684,120192.13461538461,63059.24550765288
183,"[61,270]",100462,52,6249956,0.0005176086480460273,120191.46153846153,62212.139913599174
184,"[61,260]",101563,54,6249992,0.0005316896901430639,115740.5925925926,61538.07981253015
185,"[61,250]",102950,59,6249974,0.0005730937348227295,105931.7627118644,60708.82952889752
186,"[61,240]",104709,56,6249974,0.0005348155363913322,111606.67857142857,59688.98566503357
187,"[61,230]",106413,55,6249946,0.0005168541437606308,113635.38181818182,58732.91797054871
188,"[61,220]",108477,59,6249989,0.0005438940973662619,105932.01694915254,57615.79874074689
189,"[61,210]",110233,57,6249991,0.0005170865348851977,109648.9649122807,56698.003320239855
190,"[61,200]",112371,54,6249984,0.0004805510318498545,115740.44444444444,55619.19000453854
191,"[61,190]",114657,57,6249991,0.0004971349328867841,109648.9649122807,54510.33081277201
192,"[61,180]",117201,60,6249975,0.0005119410243939898,104166.25,53326.97673228044
193,"[61,170]",119388,64,6249975,0.0005360672764431936,97655.859375,52350.110563875765
194,"[61,160]",122120,62,6249919,0.0005076973468719293,100805.14516129032,51178.50474942679
195,"[66,300]",96216,51,6249998,0.0005300573709154403,122548.98039215687,64957.990355034504
196,"[66,290]",97492,54,6249992,0.000553891601362163,115740.5925925926,64107.74217371682
197,"[66,280]",98397,54,6249960,0.0005487972194274216,115740.0,63517.79017652977
198,"[66,270]",99316,51,6249990,0.0005135124249869105,122548.82352941176,62930.34354988119
199,"[66,260]",100719,57,6249965,0.0005659309564233164,109648.50877192983,62053.48543968864
200,"[66,250]",102300,60,6249978,0.0005865102639296188,104166.3,61094.604105571845
201,"[66,240]",103756,57,6249988,0.0005493658198080111,109648.91228070176,60237.36458614442
202,"[66,230]",105695,60,6249947,0.0005676711291924878,104165.78333333334,59131.907848053364
203,"[66,220]",107314,53,6250000,0.0004938777792273143,117924.52830188679,58240.30415416441
204,"[66,210]",109204,57,6249944,0.0005219589026043002,109648.14035087719,57231.823010146145
205,"[66,200]",111207,58,6249977,0.0005215499024341993,107758.22413793103,56201.29128562051
206,"[66,190]",113250,58,6249946,0.0005121412803532009,107757.68965517242,55187.16114790287
207,"[66,180]",115768,55,6249970,0.0004750881072489807,113635.81818181818,53987.02577568931
208,"[66,170]",118233,58,6249964,0.0004905567819475104,107758.0,52861.41770909983
209,"[66,160]",120711,59,6249960,0.0004887707002675813,105931.52542372882,51776.22586176902
210,"[71,300]",95859,55,6249962,0.0005737593757497992,113635.67272727273,65199.53264690848
211,"[71,290]",96783,58,6249967,0.0005992787989626277,107758.05172413793,64577.115815794095
212,"[71,280]",97830,58,6249927,0.0005928651742819176,107757.36206896552,63885.58724317694
213,"[71,270]",98810,51,6249944,0.0005161420908814898,122547.92156862745,63252.14047161218
214,"[71,260]",99964,52,6249999,0.0005201872674162699,120192.28846153847,62522.49809931575
215,"[71,250]",101805,55,6249985,0.0005402485143165856,113636.09090909091,61391.729286380825
216,"[71,240]",103021,52,6249949,0.0005047514584405121,120191.32692307692,60666.74755632347
217,"[71,230]",104753,59,6249956,0.0005632296927056982,105931.45762711864,59663.742327188724
218,"[71,220]",106551,58,6249918,0.0005443402689791743,107757.20689655172,58656.5869865135
219,"[71,210]",108268,64,6249996,0.0005911257250526471,97656.1875,57727.084641814756
220,"[71,200]",110233,60,6249938,0.0005443016156686292,104165.63333333333,56697.522520479346
221,"[71,190]",112342,57,6249963,0.0005073792526392622,109648.47368421052,55633.360630930554
222,"[71,180]",114481,53,6249973,0.0004629589189472489,117924.01886792453,54593.97629300932
223,"[71,170]",116785,59,6249944,0.0005052018666780836,105931.25423728813,53516.667380228624
224,"[71,160]",119480,61,6250000,0.000510545698024774,102459.01639344262,52310.01004352193
225,"[76,300]",95060,56,6249842,0.000589101620029455,111604.32142857143,65746.28655585946
226,"[76,290]",96224,58,6249967,0.000602760226139009,107758.05172413793,64952.26762554041
227,"[76,280]",97030,56,6249996,0.0005771410903844172,111607.07142857143,64413.026898897246
228,"[76,270]",98169,55,6249987,0.000560258330022716,113636.12727272727,63665.58689606698
229,"[76,260]",99402,54,6250000,0.0005432486267881934,115740.74074074074,62875.99847085572
230,"[76,250]",100946,57,6249984,0.0005646583321775999,109648.84210526316,61914.13230836289
231,"[76,240]",102267,55,6249963,0.0005378078950198989,113635.6909090909,61114.171726950044
232,"[76,230]",103925,54,6249926,0.000519605484724561,115739.37037037036,60138.81164301179
233,"[76,220]",105696,54,6249997,0.0005108991825613079,115740.68518518518,59131.82145019679
234,"[76,210]",107584,64,6249986,0.000594883997620464,97656.03125,58094.01026174896
235,"[76,200]",109334,59,6249960,0.0005396308559094152,105931.52542372882,57163.91973219675
236,"[76,190]",111296,58,6249913,0.0005211328349626222,107757.12068965517,56155.77379240943
237,"[76,180]",113578,59,6249991,0.0005194667981475285,105932.05084745762,55028.18327493
238,"[76,170]",115728,56,6249981,0.00048389326697082815,111606.80357142857,54005.78079635006
239,"[76,160]",118074,55,6249992,0.000465809577044904,113636.21818181819,52932.83872825516
240,"[81,300]",94565,59,6249943,0.0006239094802516788,105931.2372881356,66091.50319885793
241,"[81,290]",95614,52,6249982,0.0005438534105884075,120191.96153846153,65366.808208003014
242,"[81,280]",96660,56,6249980,0.0005793503000206911,111606.78571428571,64659.42478791641
243,"[81,270]",97754,50,6249868,0.0005114880209505493,124997.36,63934.65229044336
244,"[81,260]",98875,54,6249977,0.0005461441213653603,115740.31481481482,63210.89254108723
245,"[81,250]",100190,57,6249966,0.0005689190537977842,109648.52631578948,62381.13584190039
246,"[81,240]",101627,56,6249871,0.0005510346659844332,111604.83928571429,61498.13533804993
247,"[81,230]",103226,55,6249963,0.0005328115009784357,113635.6909090909,60546.40303799431
248,"[81,220]",104979,55,6249997,0.000523914306670858,113636.3090909091,59535.688089998956
249,"[81,210]",106500,60,6249921,0.0005633802816901409,104165.35,58684.704225352114
250,"[81,200]",108456,56,6249950,0.000516338422954931,111606.25,57626.59511691377
251,"[81,190]",110393,60,6249957,0.0005435127227269845,104165.95,56615.51909994293
252,"[81,180]",112476,58,6249948,0.0005156655642092535,107757.72413793103,55566.947615491306
253,"[81,170]",114765,59,6249941,0.000514094018211127,105931.20338983051,54458.598004618136
254,"[81,160]",117126,58,6249994,0.0004951932107303246,107758.5172413793,53361.28613629766
255,"[86,300]",94270,53,6249958,0.00056221491460698,117923.7358490566,66298.48308051343
256,"[86,290]",95155,55,6249993,0.0005780043087593925,113636.23636363636,65682.23424938259
257,"[86,280]",96243,53,6249968,0.0005506894007875898,117923.92452830188,64939.455337011525
258,"[86,270]",97324,57,6249993,0.0005856725987423452,109649.0,64218.414779499406
259,"[86,260]",98305,57,6249964,0.0005798280860586949,109648.49122807017,63577.27480799553
260,"[86,250]",99438,56,6249995,0.0005631649872282226,111607.05357142857,62853.18489913313
261,"[86,240]",100693,55,6249950,0.0005462147319078784,113635.45454545454,62069.35933977536
262,"[86,230]",102513,55,6249995,0.0005365173197545677,113636.27272727272,60967.828470535445
263,"[86,220]",104266,56,6249900,0.0005370878330424108,111605.35714285714,59941.87942378148
264,"[86,210]",105878,57,6249950,0.000538355465724702,109648.24561403508,59029.73233344038
265,"[86,200]",107803,61,6249971,0.0005658469615873399,102458.54098360655,57975.85410424571
266,"[86,190]",109342,62,6249938,0.0005670282233725375,100805.45161290323,57159.53613433082
267,"[86,180]",111681,56,6249995,0.0005014281748909841,111607.05357142857,55962.92117728172
268,"[86,170]",113645,58,6249952,0.0005103612125478464,107757.79310344828,54995.39794975582
